;ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,GibType ,AnimSeq,seq0,seq1,seq2,seq3,seq4
chain2, models/e2/d2_chain2.dkm, none, bbox,300,0,20,-1,-2,-22,1,2,0,METAL,0,0,0,0,0,0
candleb, models/e2/d2_candleb.dkm,none,not,300,0,0,-2,-2,-23,2,2,1,0,0,0,0,0,0,0
candleg, models/e2/d2_candleg.dkm,none,not,300,0,0,-2,-2,-23,2,2,1,0,0,0,0,0,0,0
candler, models/e2/d2_candler.dkm,none,not,300,0,0,-2,-2,-23,2,2,1,0,0,0,0,0,0,0
candley, models/e2/d2_candley.dkm,none,not,300,0,0,-2,-2,-23,2,2,1,0,0,0,0,0,0,0
chain3, models/e2/d2_chain3.dkm, none, bbox,300,0,20,0,-24,-24,19,25,1,METAL,0,0,0,0,0,0
drape1, models/e2/d2_drape1.dkm, none, bbox,300,0,20,0,-24,-24,19,25,1,STONE,0,0,0,0,0,0
drape1b, models/e2/d2_drape1b.dkm, none, bbox,300,0,20,-1,-5,-24,1,0,1,STONE,0,0,0,0,0,0
garland, models/e2/d2_garland.dkm, none, bbox,300,0,20,-16,-16,-24,16,16,32,STONE,0,0,0,0,0,0
hhand, models/e2/d2_hhand.dkm, none, bbox,300,0,20,-4,-10,-23,4,7,53,STONE,0,0,0,0,0,0
hhead, models/e2/d2_hhead.dkm, none, bbox,300,0,20,-3,-8,-23,7,10,43,STONE,0,0,0,0,0,0
hleg, models/e2/d2_hleg.dkm, none, bbox,300,0,20,-4,-12,-23,4,7,77,STONE,0,0,0,0,0,0
hook, models/e2/d2_hook.dkm, none, bbox,300,0,20,-1,-9,-23,1,8,36,STONE,0,0,0,0,0,0
htorso, models/e2/d2_htorso.dkm, none, bbox,300,0,20,-13,-9,-23,10,8,61,STONE,0,0,0,0,0,0
torch1b, models/e2/d2_torch1b.dkm, none, bbox,300,0,0,-5,-10,-28,5,10,1,0,0,0,0,0,0,0
torch3, models/e2/d2_torch3.dkm, none, bbox,300,0,0,-16,-8,-36,8,8,1,0,0,0,0,0,0,0
snakegate, models/e2/d2_snakegate.dkm, none, bbox,300,0,20,-16,-16,-24,16,16,32,STONE,0,0,0,0,0,0
skulls, models/e2/d2_skulls.dkm, toss, bbox,300,0,20,-16,-17,-16,19,26,16,STONE,0,0,0,0,0,0
d2_cart, models/e2/d2_cart.dkm, toss, bbox,300,0,100,-18,-33,-17,18,33,21,WOOD,0,0,0,0,0,0
columntest, models/e2/d2_columntest.dkm, toss, bbox,300,0,20,-20,-20,-24,20,20,70,STONE,0,0,0,0,0,0
skiff, models/e2/cd_skift.dkm, none, bbox,300,0,0,-166,-24,-37,44,21,20,0,0,0,0,0,0,0
centurion, models/e2/d2_centurion.dkm, none, bbox,3000,0,0,-16,-16,-5,16,16,56,0,0,0,0,0,0,0
medusa, models/e2/d2_medusa.dkm, none, bbox,3000,0,0,-84,-59,-6,54,69,18,0,0,0,0,0,0,0
satyr, models/e2/d2_satyr.dkm, none, bbox,3000,0,0,-20,-20,0,20,20,60,0,0,0,0,0,0,0
spider, models/e2/d2_spider.dkm, none, bbox,3000,0,0,-34,-34,-3,34,34,37,0,0,0,0,0,0,0
griffon, models/e2/d2_griffon.dkm, none, bbox,3000,0,0,-30,-30,0,30,30,65,0,0,0,0,0,0,0
superfly, models/e2/d2_superfly.dkm, none, bbox,3000,0,0,-12,-12,-24,12,12,30,0,0,0,0,0,0,0
horn, models/e2/d2_horn.dkm, none,not,100,0,0,-12,-12,-24,12,12,30,0,0,0,0,0,0,0

"; under this directory.  Comment lines begin with a "";"" and will be ignored.",,,,,,,,,,,,,,,,,,,
; The format of each line is:,,,,,,,,,,,,,,,,,,,
;         ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,,,,,,,
;,,,,,,,,,,,,,,,,,,,
"; ModelName- The name of the model.  This is the value given to the ""model"" tag",,,
;            that was assigned when the entity was inserted into the map.,,,
; PathName-  The path of the .dkm file," for example ""models/e2/2shield1.dkm"".",,
;            Do not include quotes.,,,
"; MoveType-  Either ""toss"""," ""bounce"""," or ""none"".  Do not include quotes.",
"; SolidType- Either ""bbox"" or ""not"".  Do not include quotes.",,,
; Mass-      The mass of the deco.  1.0 is the same as player mass, 2.0 is twice ,,
;            the player mass, etc.,,
; Exploding- 1 if the deco blows up when killed, 0 if the deco just turns to debris.,,
; HitPoints- If the deco can be destroyed, this is the amount of damage it can take.,,
;            If the Exploding field is 0, this field is ignored.,,
; Min*,Max*- These fields specify the size of the object.,,
; GibType   - Type of gibs this thing throws off when beaten down. ,,,
";			  Valid settings are:  WOOD", GLASS, METAL, WHITE.... default value is 0 (which means it doesn't explode)
; AnimSeq   - Number of animation sequences this deco has.  For decos with only one frame ,,,
;             this should be zero..zilch.. nada!!!,,,
"; seq0-seq4 - frames or frame sequences of animation  use ""-"" for a set of frames use ""~"" to loop the frames",
;,
; render fx - 0 = default, 1 = translucent
; render fx - [if translucent, set alpha (0.0 - 1.0)]
