;ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,GibType ,AnimSeq,seq0,seq1,seq2,seq3,seq4
"; under this directory.  Comment lines begin with a "";"" and will be ignored.",,,,,,,,,,,,,,,,,,,
; The format of each line is:,,,,,,,,,,,,
;         ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ
;,,,,,,,,,,,,
"; ModelName - The name of the model.  This is the value given to the ""model"" tag",,,,,,,,,,,,
;             that was assigned when the entity was inserted into the map.,,,,,,,,,,,,
; PathName  - The path of the .dkm file," for example ""models/deco/e2/2shield1.dkm"".",,,,,,,,,,,
;             Do not include quotes.,,,,,,,,,,,,
"; MoveType  - Either ""toss"""," ""bounce"""," or ""none"".  Do not include quotes.",,,,,,,,,,
"; SolidType - Either ""bbox"" or ""not"".  Do not include quotes.",,,,,,,,,,,,
; Mass-       The mass of the deco.  1.0 is the same as player mass, 2.0 is twice ,,,,,,,,,,,
;             the player mass, etc.,,,,,,,,,,,
; Exploding - 1 if the deco can be destroyed, 0 if the deco can not be destroyed.,,,,,,,,,,,
; HitPoints - If the deco can be destroyed, this is the amount of damage it can take.,,,,,,,,,,,
;             If the Exploding field is 0, this field is ignored.,,,,,,,,,,,
; Min*,Max* - These fields specify the size of the object.,,,,,,,,,,,
; GibType   - Type of gibs this thing throws off when beaten down. ,,,,,,,,,,,,
";			  Valid settings are:  WOOD", GLASS, METAL, WHITE.... default value is 0 (which means it doesn't explode)
; AnimSeq   - Number of animation sequences this deco has.  For decos with only one frame ,,,
;             this should be zero..zilch.. nada!!!,,,
"; seq0-seq4 - frames or frame sequences of animation  use ""-"" for a set of frames use ""~"" to loop the frames",,,
;,,,
; render fx - 0 = default, 1 = translucent,,
; render fx - [if translucent, set alpha (0.0 - 1.0)],,
