;ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,GibType ,AnimSeq,seq0,seq1,seq2,seq3,seq4
dojspa  , models/e1/cin_dojspa.dkm, toss   , bbox  ,300,0,1,-16,-16,-24,16,16,32,METAL,0,0,0,0,0,0
gargdog , models/e1/cin_gargdog.dkm, toss   , bbox  ,300,0,1,-16,-16,-24,16,16,32,STONE,0,0,0,0,0,0
taxi    , models/e1/cin_taxi.dkm, none, bbox  ,300,0,1,-16,-16,-24,16,16,32,METAL,1,1~60,0,0,0,0
car1, models/e1/cin_car1.dkm, toss, bbox  ,300,0,1,-16,-16,-24,16,16,32,METAL,0,0,0,0,0,0
smapill, models/e1/cin_smapill.dkm, toss, bbox  ,300,0,1,-4,-4,-24,4,4,1,WOOD,0,0,0,0,0,0
bigpill, models/e1/cin_bigpill.dkm, toss, bbox  ,300,0,1,-16,-16,-24,16,16,1,WOOD,0,0,0,0,0,0
books1, models/e1/cin_books1.dkm, toss, bbox  ,300,0,1,-10,-10,-24,10,10,1,WOOD,0,0,0,0,0,0
books2, models/e1/cin_books2.dkm, toss, bbox  ,300,0,1,-10,-10,-24,10,10,1,WOOD,0,0,0,0,0,0
deadguy, models/e1/m_dead.dkm,none, bbox  ,300,0,50,-25,-25,-3,25,23,9,GIBS,0,0,0,0,0,0
sign1, models/e1/d1_sign1.dkm, toss, bbox  ,300,0,1,-10,-10,-24,10,10,29,METAL,0,0,0,0,0,0
sign2, models/e1/d1_sign2.dkm, toss, bbox  ,300,0,1,-10,-10,-24,10,10,22,METAL,0,0,0,0,0,0
sign3, models/e1/d1_sign3.dkm, toss, bbox  ,300,0,1,-8,-8,-24,8,8,16,METAL,0,0,0,0,0,0
sign4, models/e1/d1_sign4.dkm, toss, bbox  ,300,0,1,-4,-4,-24,4,4,18,METAL,0,0,0,0,0,0
trashcan, models/e1/cin_trashcan.dkm, toss, bbox  ,300,0,1,-14,-14,-24,14,14,24,METAL,0,0,0,0,0,0
candybar, models/e1/candy_bar.dkm, none, not,300,0,1,-2,-1,-1,6,1,1,0,0,0,0,0,0,0
light, models/global/light.dkm, none, not,300,0,1,-16,-16,-24,16,16,32,METAL,0,0,0,0,0,0
cup, models/global/cup.dkm, none, not,300,0,1,-16,-16,-24,16,16,32,0,0,0,0,0,0,0
vending, models/e1/vending_mach.dkm, none, bbox,300,0,1,-14,-23,-30,14,25,53,METAL,0,0,0,0,0,0
compchair, models/e1/d1_cchair1.dkm, none, bbox,300,0,1,-16,-8,-31,8,8,2,METAL,0,0,0,0,0,0
compdesk, models/e1/d1_cdesk1.dkm, none, bbox,300,0,1,-12,-22,-31,28,22,10,METAL,0,0,0,0,0,0
comptubes, models/e1/d1_ctubes.dkm, none, bbox,300,0,1,-10,-15,-48,10,9,62,METAL,0,0,0,0,0,0
doorcomp, models/e1/e1_drcmp.dkm, none, bbox,300,0,1,-8,-8,-32,8,8,32,METAL,0,0,0,0,0,0
torture1, models/e1/m_torture1.dkm, none, bbox,300,0,50,-8,-8,-20,8,8,26,GIBS,4,0~18,19-47,48~60,61~80,0
torture2, models/e1/m_torture2.dkm, none, bbox,300,0,50,-8,-8,-20,8,8,26,GIBS,1,0~28,0,0,0,0
torturebase, models/e1/torturebase.dkm, none, bbox,300,0,50,-10,-10,-24,10,10,26,METAL,0,0,0,0,0,0
Wilson, models/e1/d1_torturewilson.dkm, none, bbox,300,0,100,-40,-10,-24,20,10,1,GIBS,2,0,1~29,0,0,0
torturetable, models/e1/d1_torturetable.dkm, none, bbox,300,0,50,-47,-10,-32,24,10,1,METAL,0,0,0,0,0,0
bodybin, models/e1/d1_bbin.dkm, none, bbox,1000,0,100,-12,-32,-32,15,25,10,GIBS,0,0,0,0,0,0
supertorture, models/e1/d1_supertorture.dkm, none, bbox,300,0,250,-20,-20,-24,20,20,60,METAL,0,0,0,0,0,0
dklogo, models/e1/d_dklogo.dkm, none, bbox,300,0,50,-8,-8,-20,8,8,26,METAL,1,0~29,0,0,0,0
pb, models/e1/pb.dkm, none, not,300,0,0,-16,-16,-24,16,16,32,METAL,0,0,0,0,0,0
pb2, models/e1/pb2.dkm, none, not,300,0,0,-16,-16,-24,16,16,32,METAL,0,0,0,0,0,0
truckwheel, models/e1/d1_truckwheel.dkm, none, bbox,300,0,0,-3,-8,-33,14,8,1,METAL,0,0,0,0,0,0
truckseat, models/e1/d1_truckseat.dkm, none, bbox,300,0,0,-16,-12,-35,9,11,1,METAL,0,0,0,0,0,0
brain, models/e1/d1_brain.dkm, none, bbox,300,0,0,-38,-19,-52,16,19,12,GIBS,1,0~29,0,0,0,0
anvil, models/e1/cin_anvil.dkm, toss, not  ,300,0,0,-14,-14,-24,14,14,24,METAL,0,0,0,0,0,0
deadninja, models/e1/cin_ninja.dkm, toss, bbox  ,300,0,50,-25,-25,-3,25,23,9,GIBS,0,0,0,0,0,0
deathtruck, models/e1/d1_deathtruck.dkm, toss, not  ,300,0,0,-14,-14,-24,14,14,24,0,0,0,0,0,0,0
deadtoshiro, models/e1/cin_toshiro.dkm,none,not,300,0,50,-11,-24,-2,8,24,7,GIBS,0,0,0,0,0,0
mikikostasis, models/e1/d1_mkstasis.dkm,none,not,300,0,0,-11,-24,-2,8,24,7,GIBS,1,0~39,0,0,0,0
gibpile, models/e1/d1_gibpile.dkm,none,not,300,0,1,-10,-10,-1,10,10,10,GIBS,0,0,0,0,0,0
bodyparts, models/e1/d1_bparts.dkm,toss,not,300,0,1,-4,-12,-1,4,12,10,GIBS,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
; Each line in this file contains data on the decos in the directories,,,,,,,,,,,,,,,,,,,
"; under this directory.  Comment lines begin with a "";"" and will be ignored.",,,,,,,,,,,,,,,,,,,
; The format of each line is:,,,,,,,,,,,,,,,,,,,
;         ModelName, PathName, MoveType, SolidType, Mass, Exploding, HitPoints, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,,,,,,,
;,,,,,,,,,,,,,,,,,,,
"; ModelName- The name of the model.  This is the value given to the ""model"" tag",,,,,,,,,,,,,,,,,,,
;            that was assigned when the entity was inserted into the map.,,,,,,,,,,,,,,,,,,,
; PathName-  The path of the .dkm file," for example ""models/e1/deco/e2/2shield1.dkm"".",,,,,,,,,,,,,,,,,,
;            Do not include quotes.,,,,,,,,,,,,,,,,,,,
"; MoveType-  Either ""toss"""," ""bounce"""," or ""none"".  Do not include quotes.",,,,,,,,,,,,,,,,,
"; SolidType- Either ""bbox"" or ""not"".  Do not include quotes.",,,,,,,,,,,,,,,,,,,
; Mass-      The mass of the deco.  1.0 is the same as player mass, 2.0 is twice ,,,,,,,,,,,,,,,,,,
;            the player mass, etc.,,,,,,,,,,,,,,,,,,
; Exploding- 1 if the deco can be destroyed, 0 if the deco can not be destroyed.,,,,,,,,,,,,,,,,,,
; HitPoints- If the deco can be destroyed, this is the amount of damage it can take.,,,,,,,,,,,,,,,,,,
;            If the Exploding field is 0, this field is ignored.,,,,,,,,,,,,,,,,,,
; Min*,Max*- These fields specify the size of the object.,,,,,,,,,,,,,,,,,,
; GibType   - Type of gibs this thing throws off when beaten down. ,,,,,,,,,,,,,,,,,,,
;,,,  Valid settings are:  WOOD, GLASS, METAL, WHITE.... default value is 0 (which means it doesn't explode),,,,,,,,,,,,,
; AnimSeq   - Number of animation sequences this deco has.  For decos with only one frame ,,,,,,,,,,,,,,,,,,,
;             this should be zero..zilch.. nada!!!,,,,,,,,,,,,,,,,,,,
"; seq0-seq4 - frames or frame sequences of animation  use ""-"" for a set of frames use ""~"" to loop the frames",,,,,,,,,,,,,,,,,,,
